,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,year,month,season,year_1955,median_price,buy,price_sell,best_scenario,worst_scenario
24,3814700200,2014-11-20,329000.0,3,2.25,2450,6500,2.0,0,0,4,8,2450,0,1985,0,98030,47.3739,-122.172,2200,6865,2014,11,fall,1,440000.0,1,394800.0,427700.0,378349.99999999994
25,1202000200,2014-11-03,233000.0,3,2.0,1710,4697,1.5,0,0,5,6,1710,0,1941,0,98002,47.3048,-122.218,1030,4705,2014,11,fall,0,526000.0,1,279600.0,302900.0,267950.0
28,5101402488,2014-06-24,438000.0,3,1.75,1520,6380,1.0,0,0,3,7,790,730,1948,0,98115,47.695,-122.304,1520,6235,2014,6,sumer,0,450000.0,1,525600.0,569400.0,503699.99999999994
31,2426039314,2014-12-01,280000.0,2,1.5,1190,1265,3.0,0,0,3,7,1190,0,2005,0,98133,47.7274,-122.357,1390,1756,2014,12,winter,1,450000.0,1,336000.0,364000.0,322000.0
34,7955080270,2014-12-03,322500.0,4,2.75,2060,6659,1.0,0,0,3,7,1280,780,1981,0,98058,47.4276,-122.157,2020,8720,2014,12,winter,1,450000.0,1,387000.0,419250.0,370875.0
44,1432701230,2014-07-29,309000.0,3,1.0,1280,9656,1.0,0,0,4,6,920,360,1959,0,98058,47.4485,-122.175,1340,8808,2014,7,sumer,1,440000.0,1,370800.0,401700.0,355350.0
46,8945200830,2015-03-25,210490.0,3,1.0,990,8528,1.0,0,0,3,6,990,0,1966,0,98023,47.3066,-122.371,1228,8840,2015,3,spring,1,450000.0,1,252588.0,273637.0,242063.49999999997
50,5245600105,2014-09-16,228000.0,3,1.0,1190,9199,1.0,0,0,3,7,1190,0,1955,0,98148,47.4258,-122.322,1190,9364,2014,9,fall,1,450000.0,1,273600.0,296400.0,262200.0
51,7231300125,2015-02-17,345000.0,5,2.5,3150,9134,1.0,0,0,4,8,1640,1510,1966,0,98056,47.4934,-122.189,1990,9133,2015,2,winter,1,440000.0,1,414000.0,448500.0,396749.99999999994
56,9478500640,2014-08-19,292500.0,4,2.5,2250,4495,2.0,0,0,3,7,2250,0,2008,0,98042,47.3663,-122.114,2250,4500,2014,8,winter,1,450000.0,1,351000.0,380250.0,336375.0
57,2799800710,2015-04-07,301000.0,3,2.5,2420,4750,2.0,0,0,3,8,2420,0,2003,0,98042,47.3663,-122.122,2690,4750,2015,4,spring,1,450000.0,1,361200.0,391300.0,346150.0
59,8079040320,2015-02-23,430000.0,4,3.0,1850,9976,2.0,0,0,3,8,1850,0,1991,0,98059,47.5059,-122.149,2270,8542,2015,2,winter,1,450000.0,1,516000.0,559000.0,494499.99999999994
61,9558200045,2014-08-28,289000.0,3,1.75,1260,8400,1.0,0,0,3,7,1260,0,1954,0,98148,47.4366,-122.335,1290,8750,2014,8,winter,0,450000.0,1,346800.0,375700.0,332350.0
62,5072410070,2014-10-21,505000.0,3,1.75,2519,8690,2.0,0,0,5,8,2519,0,1973,0,98166,47.4428,-122.344,2500,9500,2014,10,fall,1,526000.0,1,606000.0,656500.0,580750.0
64,1189001180,2014-06-03,425000.0,3,2.25,1660,6000,1.0,0,0,3,7,1110,550,1979,0,98122,47.6113,-122.297,1440,4080,2014,6,sumer,1,450000.0,1,510000.0,552500.0,488749.99999999994
65,3253500160,2014-11-20,317625.0,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1925,0,98144,47.5747,-122.304,1440,4000,2014,11,fall,0,526000.0,1,381150.0,412912.5,365268.75
67,3717000160,2014-10-09,287000.0,4,2.5,2240,4648,2.0,0,0,3,7,2240,0,2005,0,98001,47.3378,-122.257,2221,4557,2014,10,fall,1,450000.0,1,344400.0,373100.0,330050.0
68,1274500060,2014-08-25,204000.0,3,1.0,1000,12070,1.0,0,0,4,7,1000,0,1968,0,98042,47.3621,-122.11,1010,12635,2014,8,winter,1,440000.0,1,244800.0,265200.0,234599.99999999997
71,1049000060,2015-01-05,325000.0,3,2.0,1260,5612,1.0,0,0,4,7,1260,0,1972,0,98034,47.7362,-122.179,1640,4745,2015,1,winter,1,440000.0,1,390000.0,422500.0,373750.0
73,5416510140,2014-07-10,360000.0,4,2.5,2380,5000,2.0,0,0,3,8,2380,0,2005,0,98038,47.3608,-122.036,2420,5000,2014,7,sumer,1,450000.0,1,432000.0,468000.0,413999.99999999994
74,3444100400,2015-03-16,349000.0,3,1.75,1790,50529,1.0,0,0,5,7,1090,700,1965,0,98042,47.3511,-122.073,1940,50529,2015,3,spring,1,526000.0,1,418800.0,453700.0,401349.99999999994
76,4036801170,2014-10-13,380000.0,4,1.75,1760,7300,1.0,0,0,3,7,880,880,1956,0,98008,47.6034,-122.125,1680,7500,2014,10,fall,1,450000.0,1,456000.0,494000.0,436999.99999999994
78,6300000287,2014-06-09,410000.0,3,1.0,1410,5060,1.0,0,0,4,7,910,500,1956,0,98133,47.7073,-122.34,1130,5693,2014,6,sumer,1,440000.0,1,492000.0,533000.0,471499.99999999994
80,5104520400,2014-12-02,390000.0,3,2.5,2350,5100,2.0,0,0,3,8,2350,0,2003,0,98038,47.3512,-122.008,2350,5363,2014,12,winter,1,450000.0,1,468000.0,507000.0,448499.99999999994
81,7437100340,2014-12-22,360000.0,4,2.5,1900,5889,2.0,0,0,3,7,1900,0,1992,0,98038,47.349,-122.031,1870,6405,2014,12,winter,1,450000.0,1,432000.0,468000.0,413999.99999999994
82,9418400240,2014-10-28,355000.0,2,1.0,2020,6720,1.0,0,0,3,7,1010,1010,1948,0,98118,47.5474,-122.291,1720,6720,2014,10,fall,0,450000.0,1,426000.0,461500.0,408249.99999999994
83,1523059105,2015-01-28,356000.0,3,1.5,1680,8712,1.0,0,0,3,8,1680,0,1964,0,98059,47.4811,-122.149,1850,8797,2015,1,winter,1,450000.0,1,427200.0,462800.0,409399.99999999994
84,1133000671,2014-06-02,315000.0,3,1.0,960,6634,1.0,0,0,3,6,960,0,1952,0,98125,47.7264,-122.31,1570,7203,2014,6,sumer,0,450000.0,1,378000.0,409500.0,362250.0
86,2599001200,2014-11-03,305000.0,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,1961,0,98092,47.2909,-122.189,1590,8165,2014,11,fall,1,526000.0,1,366000.0,396500.0,350750.0
88,1332700270,2014-05-19,215000.0,2,2.25,1610,2040,2.0,0,0,4,7,1610,0,1979,0,98056,47.518,-122.194,1950,2025,2014,5,winter,1,440000.0,1,258000.0,279500.0,247249.99999999997
89,3869900162,2014-09-04,335000.0,2,1.75,1030,1066,2.0,0,0,3,7,765,265,2006,0,98136,47.5394,-122.387,1030,1106,2014,9,fall,1,450000.0,1,402000.0,435500.0,385249.99999999994
90,2791500270,2014-05-22,243500.0,4,2.5,1980,7403,2.0,0,0,3,7,1980,0,1988,0,98023,47.2897,-122.372,1980,7510,2014,5,winter,1,450000.0,1,292200.0,316550.0,280025.0
92,4168000060,2015-02-26,153000.0,3,1.0,1200,10500,1.0,0,0,3,7,1200,0,1962,0,98023,47.322,-122.351,1350,10500,2015,2,winter,1,450000.0,1,183600.0,198900.0,175950.0
93,6021501535,2014-07-25,430000.0,3,1.5,1580,5000,1.0,0,0,3,8,1290,290,1939,0,98117,47.687,-122.386,1570,4500,2014,7,sumer,0,450000.0,1,516000.0,559000.0,494499.99999999994
96,3422049190,2015-03-30,247500.0,3,1.75,1960,15681,1.0,0,0,3,7,1960,0,1967,0,98032,47.3576,-122.277,1750,15616,2015,3,spring,1,450000.0,1,297000.0,321750.0,284625.0
97,1099611230,2014-09-12,199000.0,4,1.5,1160,6400,1.0,0,0,4,7,1160,0,1975,0,98023,47.3036,-122.378,1160,6400,2014,9,fall,1,440000.0,1,238800.0,258700.0,228849.99999999997
98,722079104,2014-07-11,314000.0,3,1.75,1810,41800,1.0,0,0,5,7,1210,600,1980,0,98038,47.4109,-121.958,1650,135036,2014,7,sumer,1,526000.0,1,376800.0,408200.0,361100.0
99,7338200240,2014-05-16,437500.0,3,2.5,2320,36847,2.0,0,2,3,9,2320,0,1992,0,98045,47.4838,-121.714,2550,35065,2014,5,winter,1,450000.0,1,525000.0,568750.0,503124.99999999994
104,6197800045,2014-09-24,290000.0,3,1.0,1210,33919,1.0,0,0,3,7,1210,0,1954,0,98058,47.4375,-122.184,1640,14910,2014,9,fall,0,450000.0,1,348000.0,377000.0,333500.0
105,1328310370,2015-04-02,375000.0,3,2.5,2340,10005,1.0,0,0,4,8,1460,880,1978,0,98058,47.4431,-122.133,2250,8162,2015,4,spring,1,440000.0,1,450000.0,487500.0,431249.99999999994
107,3530510041,2014-07-23,188500.0,2,1.75,1240,2493,1.0,0,0,4,8,1240,0,1985,0,98198,47.3813,-122.322,1270,4966,2014,7,sumer,1,440000.0,1,226200.0,245050.0,216774.99999999997
112,2525310310,2014-09-16,272500.0,3,1.75,1540,12600,1.0,0,0,4,7,1160,380,1980,0,98038,47.3624,-122.031,1540,11656,2014,9,fall,1,440000.0,1,327000.0,354250.0,313375.0
113,6126500060,2014-11-24,329950.0,3,1.75,2080,5969,1.0,0,2,3,7,1080,1000,1971,0,98108,47.5474,-122.295,2090,5500,2014,11,fall,1,450000.0,1,395940.0,428935.0,379442.49999999994
117,4060000240,2014-06-23,205425.0,2,1.0,880,6780,1.0,0,0,4,6,880,0,1945,0,98178,47.5009,-122.248,1190,6780,2014,6,sumer,0,440000.0,1,246510.0,267052.5,236238.74999999997
118,3454800060,2015-01-08,171800.0,4,2.0,1570,9600,1.0,0,0,3,6,1570,0,1950,0,98168,47.4965,-122.303,1880,9000,2015,1,winter,0,450000.0,1,206160.0,223340.0,197569.99999999997
121,6675500070,2014-11-19,391500.0,3,2.0,1450,9132,1.0,0,0,3,7,1450,0,1987,0,98034,47.7288,-122.226,1580,9104,2014,11,fall,1,450000.0,1,469800.0,508950.0,450224.99999999994
122,3626039187,2015-04-06,395000.0,2,1.0,770,6000,1.0,0,0,3,6,770,0,1953,0,98117,47.6999,-122.364,1710,6000,2015,4,spring,0,450000.0,1,474000.0,513500.0,454249.99999999994
123,3524049083,2014-11-04,445000.0,4,1.75,2100,4400,1.5,0,0,5,7,1720,380,1924,0,98118,47.5299,-122.266,1850,4400,2014,11,fall,0,526000.0,1,534000.0,578500.0,511749.99999999994
126,4058801670,2014-07-17,445000.0,3,2.25,2100,8201,1.0,0,2,3,8,1620,480,1967,0,98178,47.5091,-122.244,2660,8712,2014,7,sumer,1,450000.0,1,534000.0,578500.0,511749.99999999994
127,8732020310,2014-07-17,260000.0,4,2.25,2160,8811,1.0,0,0,3,8,1360,800,1978,0,98023,47.3129,-122.39,2090,8400,2014,7,sumer,1,450000.0,1,312000.0,338000.0,299000.0
129,7853210060,2015-04-06,430000.0,4,2.5,2070,4310,2.0,0,0,3,7,2070,0,2004,0,98065,47.5319,-121.85,1970,3748,2015,4,spring,1,450000.0,1,516000.0,559000.0,494499.99999999994
130,3668000070,2015-01-05,212000.0,3,1.75,1060,7875,1.0,0,0,4,7,1060,0,1986,0,98092,47.2761,-122.152,1420,7680,2015,1,winter,1,440000.0,1,254400.0,275600.0,243799.99999999997
135,921049315,2014-08-13,199000.0,3,1.75,1320,17390,1.0,0,0,4,7,1320,0,1956,0,98003,47.3257,-122.296,1550,19265,2014,8,winter,1,440000.0,1,238800.0,258700.0,228849.99999999997
136,3655000070,2014-08-05,220000.0,4,1.75,2020,7840,1.0,0,0,3,7,1010,1010,1968,0,98003,47.3309,-122.299,1750,8140,2014,8,winter,1,450000.0,1,264000.0,286000.0,252999.99999999997
138,3992700335,2014-07-07,382500.0,2,1.0,1190,4440,1.0,0,0,3,6,1190,0,1981,0,98125,47.7135,-122.287,1060,5715,2014,7,sumer,1,450000.0,1,459000.0,497250.0,439874.99999999994
142,1432900240,2015-05-08,205000.0,3,1.0,1610,8579,1.0,0,0,4,7,1010,600,1962,0,98058,47.4563,-122.171,1610,8579,2015,5,winter,1,440000.0,1,246000.0,266500.0,235749.99999999997
143,6140100875,2015-04-15,420000.0,3,1.0,1060,8097,1.0,0,0,4,7,940,120,1923,0,98133,47.7144,-122.351,1560,7940,2015,4,spring,0,440000.0,1,504000.0,546000.0,482999.99999999994
147,3224079105,2014-08-06,430000.0,2,2.5,2420,60984,2.0,0,0,3,7,2420,0,2007,0,98027,47.5262,-121.943,1940,193842,2014,8,winter,1,450000.0,1,516000.0,559000.0,494499.99999999994
148,8075400570,2014-10-30,258000.0,5,2.0,2260,12500,1.0,0,0,4,8,1130,1130,1960,0,98032,47.3887,-122.286,1360,18000,2014,10,fall,1,440000.0,1,309600.0,335400.0,296700.0
152,537000445,2015-03-31,282950.0,3,1.0,1250,8200,1.0,0,0,4,7,1250,0,1954,0,98003,47.3255,-122.304,1680,8633,2015,3,spring,0,440000.0,1,339540.0,367835.0,325392.5
154,7920100045,2014-05-16,350000.0,1,1.0,700,5100,1.0,0,0,3,7,700,0,1942,0,98115,47.679,-122.3,1010,5100,2014,5,winter,0,450000.0,1,420000.0,455000.0,402499.99999999994
155,8960000030,2014-07-28,215000.0,3,1.0,1180,7669,1.0,0,0,4,7,1180,0,1967,0,98058,47.4479,-122.176,1190,7669,2014,7,sumer,1,440000.0,1,258000.0,279500.0,247249.99999999997
157,8731900200,2014-08-07,320000.0,4,2.75,2640,7500,1.0,0,0,3,8,1620,1020,1967,0,98023,47.3135,-122.369,1980,7875,2014,8,winter,1,450000.0,1,384000.0,416000.0,368000.0
158,8029200135,2014-11-13,247000.0,3,2.0,1270,7198,1.5,0,0,3,7,1270,0,1916,2013,98022,47.2086,-121.996,1160,7198,2014,11,fall,0,450000.0,1,296400.0,321100.0,284050.0
159,1081200350,2014-10-03,320000.0,4,1.75,1760,11180,1.0,0,0,4,8,1760,0,1968,0,98059,47.4715,-122.118,1730,11180,2014,10,fall,1,440000.0,1,384000.0,416000.0,368000.0
160,84000105,2014-05-07,255000.0,5,2.25,2060,8632,1.0,0,0,3,7,1030,1030,1962,0,98146,47.4877,-122.335,1010,11680,2014,5,winter,1,450000.0,1,306000.0,331500.0,293250.0
161,3756500060,2015-03-09,438000.0,3,1.75,1780,9660,1.0,0,0,3,7,1780,0,1962,0,98034,47.7171,-122.193,1200,9660,2015,3,spring,1,450000.0,1,525600.0,569400.0,503699.99999999994
163,3574800520,2014-06-20,441000.0,3,2.75,1910,7280,1.0,0,0,3,7,1160,750,1979,0,98034,47.7319,-122.224,1710,8152,2014,6,sumer,1,450000.0,1,529200.0,573300.0,507149.99999999994
164,2617300160,2014-08-12,420000.0,3,2.0,2020,38332,1.0,0,0,4,7,1010,1010,1975,0,98027,47.4582,-122.023,2110,36590,2014,8,winter,1,440000.0,1,504000.0,546000.0,482999.99999999994
165,2558660270,2014-12-08,370000.0,3,1.75,1580,7000,1.0,0,0,3,7,1180,400,1976,0,98034,47.7209,-122.168,1640,7500,2014,12,winter,1,450000.0,1,444000.0,481000.0,425499.99999999994
166,2009000370,2015-02-19,269950.0,2,1.75,1340,7250,1.0,0,0,5,5,700,640,1949,0,98198,47.408,-122.327,1830,9750,2015,2,winter,0,526000.0,1,323940.0,350935.0,310442.5
169,1755700060,2014-06-11,371500.0,3,2.0,1370,8336,1.0,0,0,5,7,1370,0,1964,0,98133,47.7458,-122.331,1770,7288,2014,6,sumer,1,526000.0,1,445800.0,482950.0,427224.99999999994
170,4330600435,2015-03-16,284000.0,3,1.75,1560,21000,1.0,0,0,3,7,1560,0,1954,0,98166,47.4776,-122.337,1070,7920,2015,3,spring,0,450000.0,1,340800.0,369200.0,326600.0
171,9542800700,2015-01-02,272000.0,3,1.75,2160,7140,1.0,0,0,4,7,1670,490,1978,0,98023,47.3026,-122.374,1930,7350,2015,1,winter,1,440000.0,1,326400.0,353600.0,312800.0
172,1999700045,2014-05-02,313000.0,3,1.5,1340,7912,1.5,0,0,3,7,1340,0,1955,0,98133,47.7658,-122.339,1480,7940,2014,5,winter,1,450000.0,1,375600.0,406900.0,359950.0
175,7234600798,2015-02-10,425000.0,3,2.5,1120,1100,2.0,0,0,3,8,820,300,2008,0,98122,47.6106,-122.31,1590,1795,2015,2,winter,1,450000.0,1,510000.0,552500.0,488749.99999999994
176,3881900445,2014-07-09,399950.0,5,2.75,1970,5400,1.0,0,0,3,7,1320,650,1986,0,98144,47.5868,-122.308,1280,2150,2014,7,sumer,1,450000.0,1,479940.0,519935.0,459942.49999999994
177,2254502445,2014-05-30,385000.0,3,1.0,1220,4800,1.0,0,0,3,6,1220,0,1901,0,98122,47.6101,-122.307,1200,4800,2014,5,winter,0,450000.0,1,462000.0,500500.0,442749.99999999994
178,5437810320,2014-11-17,269950.0,3,1.5,1950,7560,1.0,0,2,4,7,1320,630,1975,0,98022,47.1976,-121.999,1950,8941,2014,11,fall,1,440000.0,1,323940.0,350935.0,310442.5
179,9158100075,2015-01-07,330000.0,2,1.0,1350,8220,1.0,0,0,3,7,1060,290,1949,0,98177,47.7224,-122.358,1540,8280,2015,1,winter,0,450000.0,1,396000.0,429000.0,379499.99999999994
180,3830630310,2014-07-25,260000.0,3,2.5,1670,5797,2.0,0,0,3,7,1670,0,1988,0,98030,47.3505,-122.179,1670,6183,2014,7,sumer,1,450000.0,1,312000.0,338000.0,299000.0
183,6661200320,2014-07-23,163500.0,2,1.5,1050,3419,2.0,0,0,3,7,1050,0,1996,0,98038,47.3848,-122.039,1050,3417,2014,7,sumer,1,450000.0,1,196200.0,212550.0,188025.0
186,8731951370,2015-04-15,269000.0,4,1.75,1490,10000,1.0,0,0,4,8,1100,390,1969,0,98023,47.3099,-122.379,2190,8910,2015,4,spring,1,440000.0,1,322800.0,349700.0,309350.0
190,9477200200,2014-08-18,305000.0,3,1.75,1650,9480,1.0,0,0,3,7,1220,430,1977,0,98034,47.726,-122.191,1540,8400,2014,8,winter,1,450000.0,1,366000.0,396500.0,350750.0
191,1432600560,2014-11-05,166950.0,3,1.0,1190,8820,1.0,0,0,3,6,1190,0,1959,0,98058,47.4616,-122.184,1230,7980,2014,11,fall,1,450000.0,1,200340.0,217035.0,191992.49999999997
193,3663500060,2014-06-25,400000.0,3,2.5,2180,7508,1.0,0,0,4,7,1420,760,1962,0,98133,47.7606,-122.336,1900,7818,2014,6,sumer,1,440000.0,1,480000.0,520000.0,459999.99999999994
194,3996900125,2014-12-01,230000.0,3,1.0,1060,10228,1.0,0,0,3,7,1060,0,1948,0,98155,47.7481,-122.3,1570,10228,2014,12,winter,0,450000.0,1,276000.0,299000.0,264500.0
195,7796450200,2014-05-15,256883.0,3,2.5,1690,5025,2.0,0,0,3,8,1690,0,2003,0,98023,47.2779,-122.347,2550,5001,2014,5,winter,1,450000.0,1,308259.6,333947.9,295415.44999999995
196,7549802535,2014-11-11,423000.0,4,2.0,1970,6480,1.5,0,0,5,7,1130,840,1920,0,98108,47.5511,-122.312,1500,6480,2014,11,fall,0,526000.0,1,507600.0,549900.0,486449.99999999994
198,2824079053,2015-01-13,440000.0,3,2.5,1910,66211,2.0,0,0,3,7,1910,0,1997,0,98024,47.5385,-121.911,2330,67268,2015,1,winter,1,450000.0,1,528000.0,572000.0,505999.99999999994
199,1222069094,2014-10-14,385000.0,3,1.75,1350,155073,1.0,0,0,4,7,1350,0,1969,0,98038,47.4058,-121.994,1560,50965,2014,10,fall,1,440000.0,1,462000.0,500500.0,442749.99999999994
200,3542300060,2015-03-11,210000.0,3,1.0,860,11725,1.0,0,0,4,6,860,0,1943,0,98056,47.5093,-122.184,1300,9514,2015,3,spring,0,440000.0,1,252000.0,273000.0,241499.99999999997
201,2222059065,2014-11-12,297000.0,3,2.5,1940,14952,2.0,0,0,3,8,1940,0,1994,0,98042,47.3777,-122.165,2030,10450,2014,11,fall,1,450000.0,1,356400.0,386100.0,341550.0
203,100600550,2014-08-04,226500.0,3,1.5,1300,7370,1.0,0,0,4,7,900,400,1976,0,98023,47.3025,-122.37,1430,7500,2014,8,winter,1,440000.0,1,271800.0,294450.0,260474.99999999997
204,3211100860,2015-03-03,274250.0,3,1.0,910,8450,1.0,0,0,4,6,910,0,1962,0,98059,47.4787,-122.158,1400,8040,2015,3,spring,1,440000.0,1,329100.0,356525.0,315387.5
207,7465900060,2015-02-05,425000.0,3,1.0,1010,5864,1.0,0,0,3,7,1010,0,1915,0,98116,47.5733,-122.381,1290,5000,2015,2,winter,0,450000.0,1,510000.0,552500.0,488749.99999999994
208,1222000055,2014-11-23,180250.0,2,0.75,900,9600,1.0,0,0,3,6,900,0,1941,0,98166,47.4604,-122.339,1250,14280,2014,11,fall,0,450000.0,1,216300.0,234325.0,207287.49999999997
210,2310030510,2015-04-22,320000.0,4,2.25,1550,7579,2.0,0,0,3,8,1550,0,1993,0,98038,47.354,-122.047,1630,6397,2015,4,spring,1,450000.0,1,384000.0,416000.0,368000.0
215,257000138,2015-01-15,280000.0,2,1.0,850,16400,1.0,0,0,3,6,850,0,1923,0,98168,47.4889,-122.299,1100,14459,2015,1,winter,0,450000.0,1,336000.0,364000.0,322000.0
217,1909600046,2014-07-03,445838.0,3,2.5,2250,5692,2.0,0,0,3,8,2250,0,2000,0,98146,47.5133,-122.379,1320,5390,2014,7,sumer,1,450000.0,1,535005.6,579589.4,512713.69999999995
221,7138000260,2014-06-05,279950.0,3,2.0,1750,9750,1.0,0,0,3,7,1350,400,1961,0,98198,47.398,-122.299,1900,10125,2014,6,sumer,1,450000.0,1,335940.0,363935.0,321942.5
223,1922059282,2014-09-18,325000.0,3,2.25,2220,16020,1.0,0,0,4,8,1780,440,1966,0,98030,47.3758,-122.217,2080,9583,2014,9,fall,1,440000.0,1,390000.0,422500.0,373750.0
224,705700390,2014-09-03,328000.0,3,2.25,2020,8379,2.0,0,0,3,7,2020,0,1994,0,98038,47.3828,-122.023,2020,8031,2014,9,fall,1,450000.0,1,393600.0,426400.0,377199.99999999994
225,7454001200,2014-06-04,390000.0,3,2.25,1250,7500,1.0,0,0,5,7,1250,0,1942,0,98146,47.5123,-122.373,1280,7392,2014,6,sumer,0,526000.0,1,468000.0,507000.0,448499.99999999994
227,7972000200,2014-05-29,264950.0,4,2.25,1720,9753,1.0,0,0,4,7,1120,600,1978,0,98023,47.2922,-122.371,1510,9753,2014,5,winter,1,440000.0,1,317940.0,344435.0,304692.5
228,722059070,2015-01-15,235000.0,3,1.0,1430,15246,1.0,0,0,4,7,980,450,1961,0,98031,47.4075,-122.214,1960,13068,2015,1,winter,1,440000.0,1,282000.0,305500.0,270250.0
231,2424000060,2014-06-16,500000.0,4,2.75,2280,15347,1.0,0,0,5,7,2280,0,1960,0,98059,47.5218,-122.164,2280,15347,2014,6,sumer,1,526000.0,1,600000.0,650000.0,575000.0
232,9264902050,2014-11-21,315000.0,6,2.75,2940,7350,1.0,0,0,3,8,1780,1160,1978,0,98023,47.3103,-122.339,2120,8236,2014,11,fall,1,450000.0,1,378000.0,409500.0,362250.0
233,943100260,2014-11-20,213000.0,2,1.0,1000,10200,1.0,0,0,3,6,1000,0,1961,0,98024,47.5687,-121.899,1150,13702,2014,11,fall,1,450000.0,1,255600.0,276900.0,244949.99999999997
234,3677400445,2014-09-02,475000.0,3,1.5,2480,5280,1.5,0,0,5,7,1620,860,1947,0,98108,47.5575,-122.303,2090,4800,2014,9,fall,0,526000.0,1,570000.0,617500.0,546250.0
236,4058000060,2015-04-09,416000.0,3,2.0,2220,94300,1.0,0,0,5,7,1640,580,1976,0,98010,47.3459,-121.95,2070,80100,2015,4,spring,1,526000.0,1,499200.0,540800.0,478399.99999999994
237,7228500560,2015-03-20,410000.0,4,1.0,1970,4740,1.5,0,0,3,7,1670,300,1904,2005,98122,47.6136,-122.303,1510,4740,2015,3,spring,0,450000.0,1,492000.0,533000.0,471499.99999999994
240,3584000310,2014-12-08,225000.0,3,1.75,1430,8505,1.0,0,0,4,7,1430,0,1968,0,98003,47.3173,-122.319,1190,8640,2014,12,winter,1,440000.0,1,270000.0,292500.0,258749.99999999997
241,8150100045,2014-10-01,210000.0,2,1.0,830,6000,1.0,0,0,3,6,830,0,1940,0,98126,47.5308,-122.376,830,4960,2014,10,fall,0,450000.0,1,252000.0,273000.0,241499.99999999997
243,6131600075,2015-04-27,225000.0,3,1.0,1300,8316,1.0,0,0,4,6,1300,0,1954,0,98002,47.3221,-122.216,1260,8316,2015,4,spring,0,440000.0,1,270000.0,292500.0,258749.99999999997
245,8029510030,2015-02-12,363000.0,3,2.5,2740,11872,2.0,0,0,3,9,2740,0,1990,0,98023,47.3076,-122.395,2570,10377,2015,2,winter,1,450000.0,1,435600.0,471900.0,417449.99999999994
